month,revenue,bookings,outstanding
2024-01,8274.11,9,4127.85
2024-02,12947.56,18,2278.12
2024-03,15217.26,36,5186.110000000001
2024-04,29196.61,39,7942.07
2024-05,27189.65,26,8565.130000000001
2024-06,34622.14,36,6168.16
2024-07,20399.84,35,5758.01
2024-08,10007.64,25,2547.64
2024-09,27453.100000000002,35,4286.05
2024-10,32527.75,54,9243.01
2024-11,35482.15,42,4451.14
2024-12,32898.84,56,8334.55
2025-01,10072.32,22,823.52
2025-02,22547.67,29,1516.51
2025-03,23947.16,31,2673.6
2025-04,29025.65,38,3068.0699999999997
2025-05,46833.89,59,10731.87
2025-06,28581.28,41,3874.29
2025-07,22072.64,29,5554.32
2025-08,22353.64,26,9780.47
2025-09,17159.39,31,4589.67
2025-10,63436.12,70,12957.25
2025-11,27306.81,51,4147.35
2025-12,31426.44,47,3188.92
2026-01,7527.38,15,789.06
