expense_id,expense_date,expense_category,amount,description
1,2025-12-09,Marketing,231.89,Operating expense
2,2024-12-07,Contract labor,209.21,Operating expense
3,2025-11-06,Software,18.05,Operating expense
4,2025-07-27,Marketing,94.7,Operating expense
5,2025-08-02,Studio supplies,76.33,Operating expense
6,2025-01-05,Contract labor,115.62,Operating expense
7,2024-03-24,Insurance,102.16,Operating expense
8,2025-06-12,Contract labor,141.72,Operating expense
9,2024-12-07,Insurance,40.63,Operating expense
10,2025-09-13,Travel,39.88,Operating expense
11,2024-11-27,Equipment,369.0,Operating expense
12,2025-05-18,Studio supplies,69.15,Operating expense
13,2025-05-01,Software,63.87,Operating expense
14,2024-05-30,Marketing,66.4,Operating expense
15,2024-12-05,Travel,67.73,Operating expense
16,2024-11-05,Studio supplies,173.03,Operating expense
17,2024-10-27,Marketing,219.37,Operating expense
18,2024-05-24,Contract labor,476.99,Operating expense
19,2024-03-17,Software,41.25,Operating expense
20,2024-05-20,Marketing,132.05,Operating expense
21,2024-06-05,Studio supplies,119.98,Operating expense
22,2024-02-06,Marketing,164.6,Operating expense
23,2024-08-26,Studio supplies,59.57,Operating expense
24,2024-03-07,Software,83.35,Operating expense
25,2024-07-02,Contract labor,300.15,Operating expense
26,2024-04-03,Marketing,91.46,Operating expense
27,2024-12-16,Studio supplies,60.81,Operating expense
28,2025-06-10,Equipment,183.31,Operating expense
29,2024-03-27,Studio supplies,50.59,Operating expense
30,2024-06-22,Studio supplies,117.8,Operating expense
31,2024-06-06,Studio supplies,24.54,Operating expense
32,2024-01-02,Studio supplies,75.71,Operating expense
33,2024-06-16,Studio supplies,113.47,Operating expense
34,2024-12-20,Contract labor,104.98,Operating expense
35,2025-01-04,Equipment,287.18,Operating expense
36,2025-11-06,Contract labor,133.44,Operating expense
37,2025-10-21,Marketing,19.55,Operating expense
38,2024-05-02,Contract labor,441.25,Operating expense
39,2024-06-18,Studio supplies,76.27,Operating expense
40,2024-03-12,Equipment,337.59,Operating expense
41,2025-12-29,Marketing,42.4,Operating expense
42,2025-04-01,Marketing,178.99,Operating expense
43,2024-11-21,Travel,9.48,Operating expense
44,2025-05-14,Insurance,249.74,Operating expense
45,2025-10-06,Marketing,204.4,Operating expense
46,2025-06-24,Software,39.75,Operating expense
47,2024-08-16,Software,81.11,Operating expense
48,2025-02-28,Studio supplies,111.41,Operating expense
49,2024-02-07,Software,70.21,Operating expense
50,2025-05-25,Contract labor,250.71,Operating expense
51,2025-05-02,Studio supplies,112.2,Operating expense
52,2024-10-02,Insurance,364.71,Operating expense
53,2024-07-06,Marketing,35.1,Operating expense
54,2025-01-07,Contract labor,34.31,Operating expense
55,2024-06-27,Travel,255.81,Operating expense
56,2025-05-03,Marketing,356.3,Operating expense
57,2025-05-26,Contract labor,282.1,Operating expense
58,2024-08-10,Marketing,317.31,Operating expense
59,2024-05-08,Insurance,56.54,Operating expense
60,2024-02-03,Travel,107.32,Operating expense
61,2025-07-05,Insurance,185.35,Operating expense
62,2025-04-25,Studio supplies,18.49,Operating expense
63,2024-05-25,Equipment,182.65,Operating expense
64,2025-12-19,Travel,18.69,Operating expense
65,2025-02-28,Studio supplies,34.7,Operating expense
66,2024-02-09,Contract labor,39.68,Operating expense
67,2025-01-24,Studio supplies,35.8,Operating expense
68,2025-04-16,Travel,73.98,Operating expense
69,2025-11-17,Marketing,373.17,Operating expense
70,2025-07-01,Equipment,202.56,Operating expense
71,2025-04-03,Marketing,92.09,Operating expense
72,2024-07-24,Marketing,60.26,Operating expense
73,2025-06-27,Studio supplies,15.74,Operating expense
74,2024-03-31,Equipment,168.61,Operating expense
75,2025-07-25,Equipment,533.14,Operating expense
76,2024-07-22,Insurance,78.45,Operating expense
77,2025-11-23,Marketing,270.56,Operating expense
78,2024-04-12,Marketing,79.37,Operating expense
79,2025-11-20,Travel,22.89,Operating expense
80,2024-03-22,Marketing,47.03,Operating expense
81,2025-12-03,Equipment,637.98,Operating expense
82,2025-12-05,Contract labor,282.43,Operating expense
83,2025-10-31,Contract labor,328.68,Operating expense
84,2025-02-07,Studio supplies,195.52,Operating expense
85,2024-07-05,Contract labor,207.63,Operating expense
86,2024-06-16,Equipment,1226.74,Operating expense
87,2024-06-12,Contract labor,137.6,Operating expense
88,2025-07-13,Marketing,279.49,Operating expense
89,2024-08-23,Marketing,181.03,Operating expense
90,2024-02-25,Marketing,128.88,Operating expense
91,2024-09-20,Studio supplies,21.39,Operating expense
92,2024-11-26,Marketing,266.51,Operating expense
93,2024-05-17,Insurance,71.29,Operating expense
94,2024-11-16,Marketing,134.9,Operating expense
95,2025-03-31,Studio supplies,113.1,Operating expense
96,2024-07-29,Marketing,170.15,Operating expense
97,2025-06-22,Studio supplies,131.5,Operating expense
98,2024-04-25,Contract labor,375.4,Operating expense
99,2024-07-10,Equipment,303.64,Operating expense
100,2024-02-11,Insurance,68.8,Operating expense
101,2024-09-30,Marketing,217.03,Operating expense
102,2024-05-18,Travel,35.28,Operating expense
103,2025-12-06,Contract labor,314.29,Operating expense
104,2025-02-15,Contract labor,151.21,Operating expense
105,2024-12-12,Equipment,120.51,Operating expense
106,2025-12-15,Contract labor,403.15,Operating expense
107,2025-05-18,Software,31.39,Operating expense
108,2025-08-11,Travel,67.86,Operating expense
109,2025-03-04,Software,41.4,Operating expense
110,2025-07-29,Software,109.81,Operating expense
111,2025-01-07,Software,75.37,Operating expense
112,2025-02-06,Marketing,357.51,Operating expense
113,2024-12-28,Software,81.63,Operating expense
114,2024-02-29,Insurance,132.68,Operating expense
115,2025-09-06,Studio supplies,118.34,Operating expense
116,2024-02-19,Contract labor,158.87,Operating expense
117,2024-01-08,Marketing,248.57,Operating expense
118,2025-10-17,Contract labor,370.69,Operating expense
119,2025-08-17,Contract labor,211.68,Operating expense
120,2024-07-15,Equipment,120.9,Operating expense
121,2025-10-22,Insurance,185.61,Operating expense
122,2024-04-17,Insurance,22.7,Operating expense
123,2025-11-16,Travel,76.0,Operating expense
124,2025-02-08,Equipment,481.0,Operating expense
125,2024-11-22,Software,15.37,Operating expense
126,2025-09-28,Marketing,84.18,Operating expense
127,2025-12-26,Travel,34.69,Operating expense
128,2025-08-30,Equipment,169.5,Operating expense
129,2024-11-02,Travel,136.4,Operating expense
130,2024-06-06,Travel,64.01,Operating expense
131,2025-05-25,Contract labor,163.77,Operating expense
132,2025-09-23,Insurance,190.09,Operating expense
133,2024-07-05,Insurance,70.05,Operating expense
134,2025-07-17,Studio supplies,27.08,Operating expense
135,2025-04-04,Marketing,136.39,Operating expense
136,2025-11-18,Travel,75.77,Operating expense
137,2024-12-05,Studio supplies,53.76,Operating expense
138,2025-07-04,Equipment,585.39,Operating expense
139,2025-11-08,Contract labor,91.33,Operating expense
140,2025-02-12,Studio supplies,30.82,Operating expense
141,2025-02-04,Studio supplies,35.38,Operating expense
142,2025-09-03,Equipment,754.84,Operating expense
143,2024-11-03,Software,9.32,Operating expense
144,2024-10-04,Equipment,588.27,Operating expense
145,2025-02-23,Software,70.58,Operating expense
146,2024-12-03,Contract labor,119.09,Operating expense
147,2025-03-26,Marketing,86.0,Operating expense
148,2025-04-02,Marketing,49.16,Operating expense
149,2025-05-22,Contract labor,221.05,Operating expense
150,2024-04-27,Marketing,108.22,Operating expense
151,2025-02-10,Marketing,163.05,Operating expense
152,2025-05-09,Studio supplies,79.31,Operating expense
153,2024-04-21,Contract labor,144.56,Operating expense
154,2024-01-24,Equipment,310.08,Operating expense
155,2025-12-05,Marketing,35.1,Operating expense
156,2024-08-31,Travel,62.35,Operating expense
157,2025-06-14,Marketing,208.88,Operating expense
158,2025-10-31,Contract labor,95.71,Operating expense
159,2025-01-01,Marketing,40.17,Operating expense
160,2025-08-20,Marketing,513.84,Operating expense
161,2024-04-29,Studio supplies,94.0,Operating expense
162,2024-03-15,Insurance,21.96,Operating expense
163,2024-07-16,Travel,57.19,Operating expense
164,2024-01-07,Studio supplies,87.33,Operating expense
165,2024-08-08,Contract labor,633.73,Operating expense
166,2024-11-16,Software,49.68,Operating expense
167,2024-12-29,Software,29.6,Operating expense
168,2025-01-25,Marketing,325.21,Operating expense
169,2025-02-11,Software,101.79,Operating expense
170,2024-05-27,Marketing,152.06,Operating expense
171,2025-07-25,Insurance,30.41,Operating expense
172,2024-04-04,Studio supplies,47.43,Operating expense
173,2025-08-18,Contract labor,344.72,Operating expense
174,2025-03-06,Travel,154.69,Operating expense
175,2024-01-22,Equipment,797.5,Operating expense
176,2025-07-12,Travel,69.62,Operating expense
177,2024-05-06,Software,50.91,Operating expense
178,2024-01-06,Software,65.86,Operating expense
179,2024-01-18,Software,156.28,Operating expense
180,2025-10-26,Equipment,173.34,Operating expense
181,2025-09-09,Studio supplies,182.72,Operating expense
182,2024-07-28,Marketing,78.31,Operating expense
183,2024-06-01,Software,18.42,Operating expense
184,2025-07-09,Contract labor,247.97,Operating expense
185,2024-11-08,Contract labor,62.62,Operating expense
186,2024-09-20,Contract labor,407.22,Operating expense
187,2025-02-05,Equipment,819.76,Operating expense
188,2025-05-03,Equipment,295.61,Operating expense
189,2025-08-14,Software,70.3,Operating expense
190,2024-10-06,Marketing,8.46,Operating expense
191,2024-12-20,Marketing,187.52,Operating expense
192,2024-11-29,Marketing,316.65,Operating expense
193,2024-05-22,Studio supplies,45.32,Operating expense
194,2025-10-21,Travel,244.4,Operating expense
195,2024-08-22,Insurance,116.05,Operating expense
196,2025-03-06,Contract labor,211.05,Operating expense
197,2025-12-05,Insurance,78.24,Operating expense
198,2025-03-01,Travel,144.23,Operating expense
199,2025-06-05,Marketing,167.85,Operating expense
200,2025-09-16,Travel,61.04,Operating expense
201,2024-08-15,Studio supplies,51.14,Operating expense
202,2024-06-02,Insurance,101.76,Operating expense
203,2025-02-14,Marketing,326.65,Operating expense
204,2024-06-05,Software,66.73,Operating expense
205,2024-10-16,Studio supplies,43.92,Operating expense
206,2025-09-24,Contract labor,516.23,Operating expense
207,2024-06-06,Equipment,117.58,Operating expense
208,2025-04-10,Contract labor,204.89,Operating expense
209,2025-04-14,Insurance,34.67,Operating expense
210,2025-05-13,Contract labor,326.91,Operating expense
211,2024-03-26,Marketing,135.2,Operating expense
212,2024-03-10,Equipment,177.4,Operating expense
213,2025-03-23,Contract labor,285.28,Operating expense
214,2025-11-20,Equipment,217.14,Operating expense
215,2024-06-19,Marketing,282.68,Operating expense
216,2025-05-09,Marketing,191.9,Operating expense
217,2024-07-20,Equipment,463.92,Operating expense
218,2024-02-01,Insurance,12.01,Operating expense
219,2025-05-26,Marketing,146.76,Operating expense
220,2024-08-02,Insurance,109.05,Operating expense
221,2025-10-16,Travel,125.92,Operating expense
222,2024-08-02,Contract labor,30.44,Operating expense
223,2025-05-06,Marketing,110.79,Operating expense
224,2024-12-08,Software,57.43,Operating expense
225,2024-10-10,Studio supplies,72.33,Operating expense
226,2025-07-09,Insurance,139.26,Operating expense
227,2024-07-27,Equipment,237.58,Operating expense
228,2024-07-04,Marketing,119.6,Operating expense
229,2025-06-15,Equipment,646.85,Operating expense
230,2025-12-08,Insurance,143.4,Operating expense
231,2025-06-27,Marketing,227.53,Operating expense
232,2025-07-13,Contract labor,344.82,Operating expense
233,2025-01-23,Travel,143.44,Operating expense
234,2025-01-19,Contract labor,236.07,Operating expense
235,2024-04-29,Marketing,249.77,Operating expense
236,2024-08-02,Contract labor,91.24,Operating expense
237,2024-05-22,Travel,124.7,Operating expense
238,2025-12-11,Marketing,17.11,Operating expense
239,2025-10-09,Software,132.61,Operating expense
240,2025-06-09,Studio supplies,204.48,Operating expense
241,2025-11-11,Studio supplies,313.16,Operating expense
242,2025-12-12,Software,27.0,Operating expense
243,2024-02-19,Studio supplies,75.92,Operating expense
244,2025-06-09,Contract labor,91.99,Operating expense
245,2024-11-02,Travel,23.44,Operating expense
246,2025-05-28,Contract labor,47.89,Operating expense
247,2025-07-22,Equipment,182.14,Operating expense
248,2024-09-07,Contract labor,51.94,Operating expense
249,2025-10-22,Insurance,188.69,Operating expense
250,2024-01-18,Contract labor,310.69,Operating expense
251,2024-05-16,Contract labor,405.81,Operating expense
252,2025-12-07,Equipment,236.44,Operating expense
253,2025-12-12,Insurance,38.39,Operating expense
254,2025-01-30,Marketing,33.24,Operating expense
255,2024-05-21,Marketing,83.55,Operating expense
256,2024-09-03,Travel,18.2,Operating expense
257,2025-02-08,Equipment,415.64,Operating expense
258,2025-07-24,Marketing,358.99,Operating expense
259,2024-05-12,Insurance,151.23,Operating expense
260,2024-04-10,Marketing,24.02,Operating expense
261,2025-07-15,Travel,72.89,Operating expense
262,2025-08-12,Insurance,225.49,Operating expense
263,2024-02-27,Marketing,26.79,Operating expense
264,2024-04-09,Insurance,15.39,Operating expense
265,2024-03-22,Studio supplies,96.05,Operating expense
266,2025-01-10,Software,125.63,Operating expense
267,2024-08-12,Studio supplies,113.36,Operating expense
268,2024-07-31,Equipment,544.78,Operating expense
269,2024-06-27,Equipment,427.04,Operating expense
270,2025-07-14,Contract labor,383.35,Operating expense
271,2024-02-27,Insurance,343.25,Operating expense
272,2024-11-23,Marketing,86.05,Operating expense
273,2025-01-17,Equipment,786.61,Operating expense
274,2025-05-07,Marketing,21.37,Operating expense
275,2024-08-31,Studio supplies,2.54,Operating expense
276,2025-03-01,Travel,43.76,Operating expense
277,2024-04-22,Contract labor,313.68,Operating expense
278,2025-08-27,Contract labor,67.87,Operating expense
279,2024-12-24,Software,98.99,Operating expense
280,2024-01-24,Studio supplies,66.58,Operating expense
281,2025-03-17,Contract labor,329.12,Operating expense
282,2024-07-18,Marketing,443.15,Operating expense
283,2025-12-01,Insurance,96.93,Operating expense
284,2025-01-07,Contract labor,304.16,Operating expense
285,2024-02-29,Studio supplies,75.17,Operating expense
286,2025-06-02,Marketing,50.98,Operating expense
287,2025-10-25,Travel,29.15,Operating expense
288,2024-08-26,Studio supplies,36.38,Operating expense
