lead_id,client_id,lead_source,service_category,inquiry_date,first_response_at,lead_status
1,76,Facebook,Graduation,2024-06-05 00:00:00,2024-06-06 06:00:00,lost
2,75,Facebook,Graduation,2024-12-14 00:00:00,2024-12-14 20:00:00,lost
3,767,Google Search,Newborn,2025-08-17 00:00:00,2025-08-18 02:00:00,new
4,322,Google Search,Family portraits,2025-10-09 00:00:00,2025-10-10 17:00:00,qualified
5,774,Referral,Graduation,2024-05-06 00:00:00,2024-05-08 12:00:00,contacted
6,995,Instagram,Mini sessions,2025-09-21 00:00:00,2025-09-23 21:00:00,qualified
7,300,Wedding Vendor,Branding/headshots,2025-10-19 00:00:00,2025-10-19 04:00:00,qualified
8,760,Referral,Family portraits,2025-06-07 00:00:00,2025-06-07 20:00:00,qualified
9,812,Google Search,Branding/headshots,2024-09-15 00:00:00,2024-09-17 17:00:00,lost
10,429,Referral,Family portraits,2024-09-06 00:00:00,2024-09-06 01:00:00,lost
11,718,Facebook,Couples,2024-02-12 00:00:00,2024-02-13 19:00:00,qualified
12,461,Facebook,Newborn,2024-06-04 00:00:00,2024-06-05 15:00:00,qualified
13,579,Facebook,Weddings,2025-09-30 00:00:00,2025-09-30 07:00:00,qualified
14,226,Repeat Client,Couples,2025-07-27 00:00:00,2025-07-28 10:00:00,qualified
15,107,Referral,Couples,2025-06-06 00:00:00,2025-06-07 09:00:00,qualified
16,242,Google Search,Family portraits,2025-01-31 00:00:00,2025-02-01 19:00:00,lost
17,545,Wedding Vendor,Family portraits,2025-12-15 00:00:00,2025-12-16 00:00:00,lost
18,908,Referral,Weddings,2025-12-03 00:00:00,2025-12-05 06:00:00,lost
19,1088,Referral,Graduation,2025-04-07 00:00:00,2025-04-09 06:00:00,qualified
20,570,Instagram,Graduation,2025-07-30 00:00:00,2025-08-01 13:00:00,qualified
21,877,Instagram,Mini sessions,2024-03-26 00:00:00,2024-03-27 22:00:00,qualified
22,822,Google Search,Weddings,2024-12-30 00:00:00,2024-12-30 04:00:00,qualified
23,85,Facebook,Maternity,2025-08-30 00:00:00,2025-09-01 08:00:00,qualified
24,113,Instagram,Weddings,2025-05-26 00:00:00,2025-05-28 13:00:00,contacted
25,582,Paid Advertisement,Graduation,2025-12-15 00:00:00,2025-12-17 02:00:00,contacted
26,151,Referral,Weddings,2024-04-13 00:00:00,2024-04-14 05:00:00,lost
27,1137,Referral,Branding/headshots,2025-06-20 00:00:00,2025-06-22 10:00:00,qualified
28,619,Google Search,Mini sessions,2024-08-24 00:00:00,2024-08-26 03:00:00,qualified
29,500,Facebook,Couples,2025-05-21 00:00:00,2025-05-21 02:00:00,lost
30,1102,Wedding Vendor,Family portraits,2024-11-19 00:00:00,2024-11-20 21:00:00,qualified
31,1113,Google Search,Branding/headshots,2024-02-06 00:00:00,2024-02-07 11:00:00,qualified
32,82,Google Search,Weddings,2024-09-07 00:00:00,2024-09-07 17:00:00,lost
33,844,google,Graduation,2025-02-25 00:00:00,2025-02-27 12:00:00,contacted
34,175,Paid Advertisement,Branding/headshots,2024-11-19 00:00:00,2024-11-20 07:00:00,new
35,357,Referral,Branding/headshots,2025-03-16 00:00:00,2025-03-17 13:00:00,lost
36,1127,Google Search,Couples,2024-06-03 00:00:00,2024-06-04 05:00:00,qualified
37,11,Facebook,Family portraits,2024-12-08 00:00:00,2024-12-09 04:00:00,qualified
38,1157,Wedding Vendor,Newborn,2024-07-23 00:00:00,2024-07-25 09:00:00,lost
39,259,Instagram,Newborn,2024-01-18 00:00:00,2024-01-19 20:00:00,lost
40,612,Instagram,Family portraits,2025-04-30 00:00:00,2025-05-02 20:00:00,lost
41,919,Facebook,Weddings,2024-09-23 00:00:00,2024-09-25 02:00:00,qualified
42,928,Local Event,Maternity,2025-11-07 00:00:00,2025-11-09 16:00:00,new
43,395,Facebook,Branding/headshots,2024-08-25 00:00:00,2024-08-25 23:00:00,qualified
44,696,Facebook,Family portraits,2024-01-14 00:00:00,2024-01-14 22:00:00,qualified
45,777,Referral,Family portraits,2025-12-11 00:00:00,2025-12-11 22:00:00,contacted
46,761,Facebook,Family portraits,2024-11-21 00:00:00,2024-11-21 13:00:00,lost
47,4,Local Event,Graduation,2025-03-13 00:00:00,2025-03-14 15:00:00,lost
48,771,Google Search,Branding/headshots,2025-05-01 00:00:00,2025-05-01 22:00:00,qualified
49,528,Google Search,Mini sessions,2024-12-15 00:00:00,2024-12-16 15:00:00,lost
50,692,Google Search,Mini sessions,2025-11-11 00:00:00,2025-11-13 06:00:00,qualified
51,235,Referral,Graduation,2024-04-27 00:00:00,2024-04-28 07:00:00,qualified
52,27,Wedding Vendor,Couples,2024-12-28 00:00:00,2024-12-28 09:00:00,qualified
53,125,Instagram,Family portraits,2024-08-16 00:00:00,2024-08-18 18:00:00,qualified
54,602,Facebook,Newborn,2024-04-06 00:00:00,2024-04-06 01:00:00,lost
55,494,Wedding Vendor,Family portraits,2025-11-11 00:00:00,2025-11-13 17:00:00,contacted
56,824,Local Event,Family portraits,2025-12-14 00:00:00,2025-12-16 19:00:00,qualified
57,447,Paid Advertisement,Weddings,2025-09-01 00:00:00,2025-09-03 19:00:00,qualified
58,815,Facebook,Family portraits,2025-12-08 00:00:00,2025-12-09 18:00:00,contacted
59,157,Instagram,Couples,2024-07-14 00:00:00,2024-07-16 14:00:00,qualified
60,253,Google Search,Family portraits,2025-12-23 00:00:00,2025-12-23 20:00:00,qualified
61,592,Instagram,Family portraits,2025-06-01 00:00:00,2025-06-01 03:00:00,lost
62,888,Wedding Vendor,Weddings,2025-05-13 00:00:00,2025-05-15 18:00:00,qualified
63,575,Facebook,Weddings,2025-02-01 00:00:00,2025-02-03 00:00:00,contacted
64,104,Google Search,Branding/headshots,2025-01-17 00:00:00,2025-01-18 18:00:00,contacted
65,467,Facebook,Mini sessions,2024-12-08 00:00:00,2024-12-09 02:00:00,qualified
66,340,Repeat Client,Mini sessions,2024-05-28 00:00:00,2024-05-29 09:00:00,lost
67,175,Face book,Family portraits,2025-11-21 00:00:00,2025-11-23 16:00:00,qualified
68,243,Instagram,Weddings,2025-06-19 00:00:00,2025-06-21 05:00:00,new
69,376,Facebook,Newborn,2024-11-30 00:00:00,2024-12-02 09:00:00,qualified
70,1142,Google Search,Newborn,2025-03-21 00:00:00,2025-03-21 12:00:00,qualified
71,351,Facebook,Maternity,2024-07-09 00:00:00,2024-07-09 04:00:00,qualified
72,615,Instagram,Weddings,2024-12-08 00:00:00,2024-12-10 09:00:00,contacted
73,15,Repeat Client,Family portraits,2025-10-26 00:00:00,2025-10-28 22:00:00,qualified
74,190,Google Search,Graduation,2025-06-04 00:00:00,2025-06-04 05:00:00,qualified
75,891,Google Search,Maternity,2025-02-27 00:00:00,2025-02-27 13:00:00,qualified
76,176,Facebook,Mini sessions,2025-10-11 00:00:00,2025-10-11 23:00:00,lost
77,1110,Instagram,Branding/headshots,2025-08-11 00:00:00,2025-08-11 02:00:00,new
78,790,Instagram,Weddings,2025-06-11 00:00:00,2025-06-11 19:00:00,qualified
79,630,Instagram,Family portraits,2025-10-09 00:00:00,2025-10-10 14:00:00,qualified
80,571,Instagram,Branding/headshots,2024-12-25 00:00:00,2024-12-27 00:00:00,contacted
81,996,Paid Advertisement,Weddings,2025-03-16 00:00:00,2025-03-16 08:00:00,contacted
82,367,Repeat Client,Family portraits,2025-06-04 00:00:00,2025-06-05 13:00:00,lost
83,970,Instagram,Family portraits,2025-06-06 00:00:00,2025-06-07 09:00:00,contacted
84,48,Instagram,Mini sessions,2024-07-29 00:00:00,2024-07-31 17:00:00,lost
85,1107,Referral,Family portraits,2025-10-07 00:00:00,2025-10-07 07:00:00,qualified
86,1170,Referral,Graduation,2025-03-08 00:00:00,2025-03-09 18:00:00,qualified
87,535,Instagram,Branding/headshots,2025-11-20 00:00:00,2025-11-20 19:00:00,contacted
88,1189,Referal,Branding/headshots,2025-04-11 00:00:00,2025-04-12 00:00:00,qualified
89,626,Referral,Mini sessions,2024-12-21 00:00:00,2024-12-22 15:00:00,lost
90,100,Instagram,Weddings,2024-09-11 00:00:00,2024-09-12 01:00:00,qualified
91,496,Local Event,Mini sessions,2024-10-29 00:00:00,2024-10-31 03:00:00,lost
92,501,Google Search,Mini sessions,2025-09-22 00:00:00,2025-09-23 07:00:00,qualified
93,915,Paid Advertisement,Graduation,2024-11-15 00:00:00,2024-11-17 08:00:00,lost
94,681,Wedding Vendor,Mini sessions,2025-07-21 00:00:00,2025-07-23 08:00:00,qualified
95,795,Google Search,Weddings,2025-02-07 00:00:00,2025-02-09 13:00:00,new
96,289,Instagram,Branding/headshots,2024-07-03 00:00:00,2024-07-03 02:00:00,qualified
97,618,Paid Advertisement,Newborn,2024-07-13 00:00:00,2024-07-14 13:00:00,contacted
98,751,Paid Advertisement,Family portraits,2025-11-01 00:00:00,2025-11-01 23:00:00,qualified
99,1030,Repeat Client,Family portraits,2025-08-24 00:00:00,2025-08-25 05:00:00,qualified
100,1163,Google Search,Weddings,2025-04-20 00:00:00,2025-04-20 04:00:00,lost
101,1077,Instagram,Graduation,2024-12-30 00:00:00,2024-12-30 07:00:00,qualified
102,1123,google,Mini sessions,2025-10-05 00:00:00,2025-10-06 23:00:00,qualified
103,985,Referral,Couples,2024-04-18 00:00:00,2024-04-20 13:00:00,lost
104,750,Instagram,Branding/headshots,2025-02-01 00:00:00,2025-02-02 20:00:00,qualified
105,904,Facebook,Family portraits,2024-10-05 00:00:00,2024-10-07 21:00:00,lost
106,1065,Wedding Vendor,Family portraits,2025-11-29 00:00:00,2025-12-01 21:00:00,lost
107,595,Wedding Vendor,Mini sessions,2024-02-13 00:00:00,2024-02-13 23:00:00,qualified
108,288,Referral,Family portraits,2024-10-28 00:00:00,2024-10-29 23:00:00,contacted
109,332,Facebook,Family portraits,2024-10-07 00:00:00,2024-10-09 23:00:00,lost
110,1126,Google Search,Weddings,2025-06-05 00:00:00,2025-06-07 04:00:00,contacted
111,1071,Instagram,Mini sessions,2024-11-09 00:00:00,2024-11-11 21:00:00,qualified
112,900,Instagram,Mini sessions,2024-06-13 00:00:00,2024-06-14 21:00:00,qualified
113,386,Facebook,Graduation,2024-05-25 00:00:00,2024-05-26 05:00:00,lost
114,59,Facebook,Family portraits,2024-06-27 00:00:00,2024-06-28 00:00:00,qualified
115,622,Facebook,Mini sessions,2025-09-07 00:00:00,2025-09-09 20:00:00,qualified
