session_id,booking_id,actual_session_date,session_status,images_delivered
1,1,2026-02-04,completed,251
2,2,2025-04-22,completed,497
3,3,2024-10-17,completed,185
4,4,2024-07-10,scheduled,194
5,5,2025-09-13,scheduled,459
6,6,2024-06-19,completed,480
7,7,2025-06-16,completed,77
8,11,2025-12-31,completed,389
9,12,2025-01-21,completed,62
10,13,2025-04-06,completed,447
11,14,2026-01-22,completed,182
12,16,2025-06-27,completed,144
13,17,2025-09-06,completed,374
14,18,2025-02-19,completed,240
15,19,2024-12-01,completed,355
16,20,2024-06-19,completed,354
17,21,2024-12-31,completed,89
18,22,2025-06-20,completed,477
19,23,2025-07-18,completed,499
20,24,2025-07-28,scheduled,487
21,25,2025-02-22,completed,148
22,26,2025-09-20,completed,212
23,27,2025-08-02,completed,474
24,28,2025-12-05,completed,389
25,29,2025-04-01,completed,51
26,30,2025-05-30,completed,451
27,31,2025-03-06,scheduled,63
28,32,2025-01-31,completed,289
29,33,2024-03-27,completed,262
30,34,2025-09-25,completed,422
31,35,2025-01-19,completed,267
32,36,2024-12-12,completed,392
33,37,2026-03-25,completed,426
34,38,2024-06-02,completed,454
35,39,2025-02-20,scheduled,276
36,40,2025-08-13,completed,487
37,41,2025-12-12,completed,409
38,42,2026-02-14,completed,317
39,43,2026-02-20,completed,244
40,44,2024-08-23,completed,499
41,45,2024-06-02,completed,385
42,46,2025-03-22,completed,68
43,47,2026-02-12,completed,353
44,48,2025-07-03,completed,237
45,49,2026-03-18,completed,172
46,50,2024-11-09,completed,292
47,51,2026-01-11,completed,452
48,53,2024-08-12,completed,284
49,54,2025-12-17,completed,289
50,55,2025-11-15,completed,434
51,56,2025-02-16,scheduled,328
52,57,2025-07-10,completed,65
53,58,2025-12-14,completed,407
54,61,2025-09-28,completed,67
55,62,2024-06-04,completed,228
56,64,2024-09-21,completed,164
57,65,2026-02-10,completed,398
58,66,2024-09-06,completed,421
59,67,2025-08-05,completed,213
60,69,2024-06-24,completed,337
61,70,2025-02-19,scheduled,105
62,71,2024-11-24,completed,406
63,72,2024-10-14,completed,192
64,73,2024-12-22,completed,148
65,74,2025-12-14,completed,416
66,75,2024-08-03,completed,443
67,76,2025-07-21,completed,404
68,77,2025-06-07,completed,489
69,78,2025-09-03,completed,120
70,79,2025-04-08,completed,492
71,80,2024-07-21,completed,496
72,81,2024-07-29,scheduled,353
73,82,2024-08-31,completed,249
74,83,2025-01-13,completed,58
75,85,2025-09-19,completed,83
76,86,2025-11-17,completed,275
77,87,2025-01-03,scheduled,233
78,88,2026-03-17,completed,378
79,89,2025-11-29,scheduled,313
80,90,2025-11-29,scheduled,254
81,91,2025-08-30,completed,195
82,92,2024-08-21,completed,440
83,94,2024-12-17,completed,487
84,95,2024-05-19,scheduled,160
85,96,2024-12-02,completed,499
86,97,2025-12-03,completed,186
87,98,2025-12-15,completed,405
88,99,2025-03-30,completed,493
89,100,2025-06-22,completed,428
90,101,2024-05-12,completed,147
91,102,2026-01-16,completed,464
92,104,2025-07-28,completed,477
93,105,2025-11-22,completed,441
94,106,2025-12-07,completed,475
95,107,2024-10-26,completed,110
96,108,2025-07-24,completed,331
97,109,2025-06-26,completed,216
98,110,2026-01-12,completed,365
99,111,2025-06-28,completed,173
100,112,2025-01-18,completed,212
101,113,2024-11-15,completed,257
102,114,2025-08-25,scheduled,102
103,116,2026-01-07,completed,224
104,117,2025-10-16,completed,125
105,118,2025-12-24,completed,393
106,119,2025-11-10,completed,491
107,120,2026-03-04,completed,224
108,121,2026-03-08,scheduled,133
109,122,2025-06-13,completed,361
110,123,2024-05-22,completed,64
111,124,2025-04-14,completed,341
